rank,source,title,reward,currency,payment_type,estimated_hours,payment_probability,execution_probability,eligibility_probability,receipt_probability,expected_receivable_value,revenue_velocity,direct_executability_score,queue_priority,requires_human_action,status,url,source_file,source_row,generated_at
405,arbeitnow,Software Engineer (.NET) (f/m/d),0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/apaleo/software-engineer-net-munich-422254,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,137,2026-07-17T19:32:33.911348+00:00
406,arbeitnow,Senior Product Marketing Manager (f/m/d),0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/apaleo/senior-product-marketing-manager-munich-401894,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,138,2026-07-17T19:32:33.911348+00:00
407,arbeitnow,Business Transformation Director (Advertising & Creative Operations),0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/oliver-agency/business-transformation-director-advertising-creative-operations-frankfurt-65107,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,139,2026-07-17T19:32:33.911348+00:00
408,arbeitnow,Business Transformation Director (Advertising & Creative Operations),0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/oliver-agency/business-transformation-director-advertising-creative-operations-berlin-408982,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,140,2026-07-17T19:32:33.912348+00:00
409,arbeitnow,"HubSpot CRM Consultant - Sales, Marketing & Service Hub (m/w/d)",0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/itelligy-digital-experts-gmbh-co-kg/hubspot-crm-consultant-sales-marketing-service-hub-freiburg-im-breisgau-256847,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,141,2026-07-17T19:32:33.912348+00:00
410,arbeitnow,Working Student: QA Automation Engineering (m/f/d),0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/retorio-gmbh/working-student-qa-automation-engineering-munich-344238,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,142,2026-07-17T19:32:33.912348+00:00
411,arbeitnow,Lead IT Operations Engineer (gn),0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/bikeleasing-service-gmbh-co-kg/lead-it-operations-engineer-gn-uslar-389697,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,143,2026-07-17T19:32:33.912348+00:00
412,arbeitnow,IT Operations Engineer (gn),0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/bikeleasing-service-gmbh-co-kg/it-operations-engineer-gn-berlin-298007,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,144,2026-07-17T19:32:33.913348+00:00
413,arbeitnow,Senior Machine Learning Engineer (m/f/*),0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/peregrine-technologies-gmbh/senior-machine-learning-engineer-m-f-berlin-422797,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,145,2026-07-17T19:32:33.913348+00:00
414,arbeitnow,Senior Product Marketing Manager Sea Domain (m/f/d),0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/quantum-systems-gmbh/senior-product-marketing-manager-sea-domain-rostock-444987,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,146,2026-07-17T19:32:33.913348+00:00
415,arbeitnow,(Lead/Senior) Technical Product Manager - Platform Engineering (m/f/d),0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/1komma50/lead-senior-technical-product-manager-platform-engineering-berlin-394233,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,147,2026-07-17T19:32:33.914348+00:00
416,arbeitnow,Director of Operations/Strategy (m/f/x),0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/exmox-gmbh/director-of-operations-strategy-hamburg-275377,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,148,2026-07-17T19:32:33.914348+00:00
417,arbeitnow,Software Engineer (f/m/x) - TypeScript (NestJS or React),0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/onetutor/software-engineer-typescript-nestjs-or-react-munich-443607,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,149,2026-07-17T19:32:33.914348+00:00
418,arbeitnow,Technical Project Manager Heartbeat AI (m/f/d),0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/1komma50/technical-project-manager-heartbeat-ai-berlin-478987,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,150,2026-07-17T19:32:33.915348+00:00
419,arbeitnow,Software Engineer (m/f/d),0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/amperecloud-gmbh/software-engineer-berlin-167036,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,151,2026-07-17T19:32:33.915348+00:00
420,arbeitnow,Internship Global Product Management (m/f/d),0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/1komma50/internship-global-product-management-berlin-370700,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,152,2026-07-17T19:32:33.915348+00:00
421,arbeitnow,Senior Project Manager (SaaS / Remote / German),0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/publitascom-bv/senior-project-manager-saas-remote-german-berlin-88647,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,153,2026-07-17T19:32:33.916348+00:00
422,arbeitnow,Internship Product Portfolio Management (m/f/d),0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/1komma50/internship-product-portfolio-management-berlin-457290,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,154,2026-07-17T19:32:33.916348+00:00
423,arbeitnow,Working Student Product Designer (m/w/d),0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/1komma50/working-student-product-designer-berlin-486801,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,155,2026-07-17T19:32:33.916348+00:00
424,arbeitnow,Quantitative Analyst & Financial Modeller (x/w/m),0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/hypofriend-gmbh/quantitative-analyst-financial-modeller-berlin-46771,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,156,2026-07-17T19:32:33.916348+00:00
425,arbeitnow,Head of Google Shopping & Amazon Commerce - Feeds & Marketplaces (m/w/d) - 100% remote,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://www.arbeitnow.com/jobs/companies/hurracom/head-of-google-shopping-amazon-commerce-feeds-marketplaces-100-remote-stuttgart-75216,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,157,2026-07-17T19:32:33.917347+00:00
426,remotive,High-Ticket Financial Sales Specialist & Team Lead Track,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remotive.com/remote-jobs/sales/high-ticket-financial-sales-specialist-team-lead-track-2090949,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,158,2026-07-17T19:32:33.917347+00:00
427,remotive,Customer Operations & Writing Specialist,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remotive.com/remote-jobs/customer-service/customer-operations-writing-specialist-2090942,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,159,2026-07-17T19:32:33.917347+00:00
428,remotive,Communications Manager,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remotive.com/remote-jobs/communications/communications-manager-2090985,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,160,2026-07-17T19:32:33.918347+00:00
429,remotive,Frontend Developer,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remotive.com/remote-jobs/software-development/frontend-developer-2090991,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,161,2026-07-17T19:32:33.918347+00:00
430,remoteok,Project Coordinator,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-project-coordinator-verasafe-1134911,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,162,2026-07-17T19:32:33.918347+00:00
431,remoteok,Entry Level Crypto Market Specialist,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-entry-level-crypto-market-specialist-apex-trade-1134871,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,163,2026-07-17T19:32:33.919347+00:00
432,remoteok,Virtual Executive Assistant,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-virtual-executive-assistant-recruit-lytixs-hires-1134865,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,164,2026-07-17T19:32:33.919347+00:00
433,remoteok,Entry Level Administrative Assistant,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-entry-level-administrative-assistant-recruit-lytixs-hires-1134855,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,165,2026-07-17T19:32:33.919347+00:00
434,remoteok,Underwriter,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-underwriter-coralisle-group-ltd-1134826,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,166,2026-07-17T19:32:33.919347+00:00
435,remoteok,Junior Contact Center Agent,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-junior-contact-center-agent-volkswagen-group-1134886,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,167,2026-07-17T19:32:33.920348+00:00
436,remoteok,Proposal & Business Development Specialist,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-proposal-amp-business-development-specialist-pubgenius-inc-1134924,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,168,2026-07-17T19:32:33.920348+00:00
437,remoteok,Estimating Assistant,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-estimating-assistant-recruitgo-careers-1134913,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,169,2026-07-17T19:32:33.920348+00:00
438,remoteok,Social Media Manager,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-social-media-manager-aion-1134877,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,170,2026-07-17T19:32:33.921347+00:00
439,remoteok,Customer Success Manager Brazil,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-customer-success-manager-brazil-group-ib-1134910,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,171,2026-07-17T19:32:33.921347+00:00
440,remoteok,Entry Level Data Entry Clerk Fully,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-entry-level-data-entry-clerk-fully-jobsinmass-com-1134807,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,172,2026-07-17T19:32:33.921347+00:00
441,remoteok,Senior Analyst Project Support,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-senior-analyst-project-support-cint-1134818,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,173,2026-07-17T19:32:33.922346+00:00
442,remoteok,Data Entry Clerk Data Entry Specialist,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-data-entry-clerk-data-entry-specialist-burjline-builders-1134805,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,174,2026-07-17T19:32:33.922346+00:00
443,remoteok,Online Tutoring Jobs Teaching Vacancy,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-online-tutoring-jobs-teaching-vacancy-gce-academy-1134814,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,175,2026-07-17T19:32:33.922346+00:00
444,remoteok,English Language Teacher Jobs Karachi Join GCE Academy,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-english-language-teacher-jobs-karachi-join-gce-academy-gce-academy-1134848,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,176,2026-07-17T19:32:33.923347+00:00
445,remoteok,Manager People & Culture,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-manager-people-amp-culture-bursting-silver-1134906,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,177,2026-07-17T19:32:33.923347+00:00
446,remoteok,Head of Creative Studio & Brand Operations YOUNG,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-head-of-creative-studio-amp-brand-operations-young-young-1134791,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,178,2026-07-17T19:32:33.923347+00:00
447,remoteok,Hiring Operations Team Member BBG etc,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-hiring-operations-team-member-bbg-etc-bbg-etc-1134781,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,179,2026-07-17T19:32:33.923347+00:00
448,remoteok,LÃ­der TÃ©cnico de Dados I Remoto,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-lider-tecnico-de-dados-i-remoto-bling-1134907,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,180,2026-07-17T19:32:33.924346+00:00
449,remoteok,Pool Technician,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-pool-technician-four-seasons-1134787,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,181,2026-07-17T19:32:33.924346+00:00
450,remoteok,Software development Frontend Developer,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-software-developmentfrontend-developer-defdone-1134928,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,182,2026-07-17T19:32:33.924346+00:00
451,remoteok,Business Intelligence Developer,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-business-intelligence-developer-base-com-1134926,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,183,2026-07-17T19:32:33.925346+00:00
452,remoteok,Creative,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-creative-recruitgo-careers-1134934,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,184,2026-07-17T19:32:33.925346+00:00
453,remoteok,Virtual Executive Assistant,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-virtual-executive-assistant-relytics-hires-1134768,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,185,2026-07-17T19:32:33.925346+00:00
454,remoteok,Entry Level Administrative Assistant,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-entry-level-administrative-assistant-relytics-hires-1134760,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,186,2026-07-17T19:32:33.925346+00:00
455,remoteok,Data Entry Specialist Assistant Administrator,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-data-entry-specialist-assistant-administrator-relytics-hires-1134772,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,187,2026-07-17T19:32:33.926346+00:00
456,remoteok,Customer Service Chat Representative,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://remoteOK.com/remote-jobs/remote-customer-service-chat-representative-carestream-advisory-group-1134757,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,188,2026-07-17T19:32:33.926346+00:00
457,github_paid_issues,Dependency Dashboard,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/yusuke0610/devforge/issues/339,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,189,2026-07-17T19:32:33.926346+00:00
458,github_paid_issues,Panel Detachment Feature Request,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/kirodotdev/Kiro/issues/721,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,190,2026-07-17T19:32:33.927346+00:00
459,github_paid_issues,Dependency Dashboard,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/gjohansson-ST/pytrafikverket/issues/69,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,191,2026-07-17T19:32:33.927346+00:00
460,github_paid_issues,Dependency Dashboard,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/arillso/ansible.agent/issues/18,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,192,2026-07-17T19:32:33.927346+00:00
461,github_paid_issues,"HTTP MCP tools not loaded in cron sessions (command-based work, HTTP-based don't)",0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/NousResearch/hermes-agent/issues/65889,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,193,2026-07-17T19:32:33.928346+00:00
462,github_paid_issues,🤝 Multi-agent CI runner / API-routing coordination,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/danielraffel/pulp/issues/4126,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,194,2026-07-17T19:32:33.928346+00:00
463,github_paid_issues,[Q-CONTROL-PLANE-PR-BODY-PROFILES-01] Canonicalize repository-aware PR body templates,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/2tbmz9y2xt-lang/rubin-protocol/issues/2503,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,195,2026-07-17T19:32:33.928346+00:00
464,github_paid_issues,Testing issue: hdf5 run test unable to find C++ compiler,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/spack/spack-packages/issues/5616,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,196,2026-07-17T19:32:33.929345+00:00
465,github_paid_issues,Renovate Dashboard 🤖,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/drag0n141/home-ops/issues/30,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,197,2026-07-17T19:32:33.929345+00:00
466,github_paid_issues,Renovate Dashboard 🤖,0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/mrdynamo/home-ops/issues/1286,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,198,2026-07-17T19:32:33.929345+00:00
467,github_paid_issues,"[DJANGO-001, DJANGO-002, DJANGO-003, DJANGO-009] Preserve descending inherited primary-key ordering",0.0,unknown,unknown,4.0,60.0,55.0,70.0,75.0,0.0,0.0,63.75,63.75,True,pending_human_review,https://github.com/fedevela/django/issues/404,C:\Users\AP10\AI-Network-Lab-Brain\01_GLOBAL_REVENUE_BRAIN\04_OPPORTUNITIES\global_paid_work_candidates.csv,199,2026-07-17T19:32:33.929345+00:00
